date,product,date,price,variety
2001-01-01,pigmeat,2001-01-01,"156,08",unknown
2001-01-01,rice,2001-01-01,276.47,unknown
2001-01-01,rice,2001-01-01,300.44,unknown
2001-01-01,beef,2001-01-01,"277,25",unknown
2001-01-01,pigmeat,2001-01-01,"156,08",unknown
2001-01-01,rice,2001-01-01,495.83,unknown
2001-01-01,beef,2001-01-01,"122,90",unknown
2001-01-01,beef,2001-01-01,"230,72",unknown
2001-01-01,pigmeat,2001-01-01,"53,60",unknown
2001-01-10,beef,2001-01-10,"294,31",unknown
2001-01-10,rice,2001-01-10,271.92,unknown
2001-01-10,beef,2001-01-10,"235,33",unknown
2001-01-10,dairy,2001-01-10,259.04,unknown
2001-01-10,dairy,2001-01-10,546.15,unknown
2001-01-10,pigmeat,2001-01-10,"32,76",unknown
2001-01-10,pigmeat,2001-01-10,"156,64",unknown
2001-01-10,pigmeat,2001-01-10,"156,64",unknown
2001-01-10,dairy,2001-01-10,296.27,unknown
2001-01-10,beef,2001-01-10,"139,25",unknown
2001-01-10,dairy,2001-01-10,655.62,unknown
2001-01-10,rice,2001-01-10,298.34,unknown
2001-01-15,dairy,2001-01-15,228.38,unknown
2001-01-15,beef,2001-01-15,"131,05",unknown
2001-01-15,beef,2001-01-15,"278,08",unknown
2001-01-15,rice,2001-01-15,321.48,unknown
2001-01-15,rice,2001-01-15,289.99,unknown
2001-01-15,beef,2001-01-15,"228,17",unknown
2001-01-15,rice,2001-01-15,495.83,unknown
2001-01-15,dairy,2001-01-15,301.11,unknown
2001-01-15,dairy,2001-01-15,538.42,unknown
2001-01-15,dairy,2001-01-15,648.06,unknown
2001-01-15,pigmeat,2001-01-15,"51,19",unknown
2001-01-15,pigmeat,2001-01-15,"156,75",unknown
2001-01-15,pigmeat,2001-01-15,"156,75",unknown
2001-01-22,rice,2001-01-22,289.99,unknown
2001-01-22,rice,2001-01-22,312.46,unknown
2001-01-22,dairy,2001-01-22,648.06,unknown
2001-01-22,dairy,2001-01-22,538.42,unknown
2001-01-22,dairy,2001-01-22,291.42,unknown
2001-01-22,rice,2001-01-22,510.86,unknown
2001-01-22,dairy,2001-01-22,228.38,unknown
2001-01-22,pigmeat,2001-01-22,"157,17",unknown
2001-01-22,beef,2001-01-22,"214,53",unknown
2001-01-22,beef,2001-01-22,"122,07",unknown
2001-01-22,pigmeat,2001-01-22,"48,02",unknown
2001-01-22,pigmeat,2001-01-22,"157,17",unknown
2001-01-22,beef,2001-01-22,"265,73",unknown
2001-01-29,dairy,2001-01-29,289.43,unknown
2001-01-29,rice,2001-01-29,289.99,unknown
2001-01-29,beef,2001-01-29,"249,91",unknown
2001-01-29,rice,2001-01-29,318.47,unknown
2001-01-29,beef,2001-01-29,"115,63",unknown
2001-01-29,beef,2001-01-29,"215,19",unknown
2001-01-29,dairy,2001-01-29,259.04,unknown
2001-01-29,pigmeat,2001-01-29,"52,89",unknown
2001-01-29,rice,2001-01-29,510.86,unknown
